Division,Section,Department,GRP_REM,PARTYNAME,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,DESC1,DESC2,DESC3,MRP,RATE,ICODE,GENERATED,STOCKINDATE
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,KIDS,NA,NA,OLD AGE,,,,99,62,M182544,2013-10-17 12:18:00,2013-10-21 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,KIDS,NA,NA,OLD AGE,,,,150,95,M182546,2013-10-17 12:18:00,2013-10-21 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,MB,CARDIGAN,NA,FREE,OLD AGE,,,,1050,618,M182911,2013-10-22 10:49:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Portmor Hosiery Mills(61P-0046) : SP00078,H WLS,MB,CASUAL,NA,FREE,OLD AGE,,,,1050,609.15,M182913,2013-10-22 10:51:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Portmor Hosiery Mills(61P-0046) : SP00078,H WLS,MB,CASUAL,NA,FREE,OLD AGE,,,,750,441.75,M182916,2013-10-22 10:53:00,2014-01-15 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Bhaskar Textile. (0029) : SB00004,H WLP,SK,HOOD,NA,F/S,OLD AGE,,,,325,210,M182923,2013-10-22 11:13:00,2013-10-25 00:00:00
Winter Garments,Winterwear Boys,Blankets Kids,Boys,Jain Creations(61J-0034) : SJ00052,H WBK,DUA,,NA,NA,OLD AGE,,,,225,135,M183107,2013-10-24 10:14:00,2013-10-24 00:00:00
Winter Garments,Winterwear Boys,Blankets Kids,Boys,Jain Creations(61J-0034) : SJ00052,H WBK,DUA,,NA,NA,OLD AGE,,,,250,145,M183109,2013-10-24 10:14:00,2013-10-24 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"20""",OLD AGE,,,,425,255,M183111,2013-10-24 10:17:00,2013-12-30 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"20""",OLD AGE,,,,495,295,M183114,2013-10-24 10:18:00,2014-02-14 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"22""",OLD AGE,,,,460,275,M183117,2013-10-24 10:18:00,2013-10-24 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"22""",OLD AGE,,,,510,305,M183119,2013-10-24 10:19:00,2014-01-30 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"24-28""",OLD AGE,,,,425,255,M183122,2013-10-24 10:19:00,2014-01-20 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"24-28""",OLD AGE,,,,525,315,M183125,2013-10-24 10:20:00,2014-01-20 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Yonex Wears(61Y-0008) : SY00010,H WBS,MB,,NA,"24-28""",OLD AGE,,,,550,335,M183127,2013-10-24 10:20:00,2013-12-30 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"20""",OLD AGE,,,,425,253.15,M183681,2013-10-28 17:02:00,2014-01-15 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"20""",OLD AGE,,,,375,219.95,M183684,2013-10-28 17:03:00,2013-10-29 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Vijay Vallabh Knitting Works. (5089) : SV00037,H WLP,MISS 15,HOOD,NA,F/S,OLD AGE,,,,695,401.8,M183899,2013-10-29 16:03:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Vijay Vallabh Knitting Works. (5089) : SV00037,H WLP,MISS 15,HOOD,NA,F/S,OLD AGE,,,,625,377.3,M183901,2013-10-29 16:04:00,2013-10-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,S. N. S. Garments. (3191) : SS00321,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1575,900,M183903,2013-10-29 16:05:00,2013-11-14 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,S. N. S. Garments. (3191) : SS00321,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,825,475,M183905,2013-10-29 16:06:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,S. N. S. Garments. (3191) : SS00321,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,645,375,M183908,2013-10-29 16:06:00,2013-12-10 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,S. N. S. Garments. (3191) : SS00321,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,425,250,M183910,2013-10-29 16:08:00,2013-10-30 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Baazar Retail Limited(33B-0007) : SB00009,H CAP,MB,MENS,NA,NA,OLD AGE,,,,99,54,M184703,2013-11-09 12:21:00,2013-11-09 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Baazar Retail Limited(33B-0007) : SB00009,H CAP,MB,MENS,NA,NA,OLD AGE,,,,85,49,M184707,2013-11-09 12:47:00,2013-11-09 00:00:00
Winter Garments,Winterwear Mens,Blankets,Acc 2,Seema Textile(33S-0252) : SS00398,H MBC,MB,REGAL,NA,NA,OLD AGE,,,,2300,1405.5,M184714,2013-11-09 14:47:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,K. K. Knitting Works. (5020) : SK00085,H WMT,MB,PAYJAMA,NA,NA,OLD AGE,,,,425,260,M184716,2013-11-09 14:54:00,2014-02-22 00:00:00
Winter Garments,Winterwear Boys,Sweaters [WB],Boys,Dhananjai Lifestyle Ltd. (0405) : SD00053,H WBS,MB,,NA,NA,OLD AGE,,,,125,73,M184719,2013-11-09 15:15:00,2014-01-29 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Dua Garments. (5014) : SD00016,H WBJ,DUA,,NA,"32-36""",OLD AGE,,,,650,381.8,M184722,2013-11-09 16:03:00,2013-11-11 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Dua Garments. (5014) : SD00016,H WBJ,DUA,,NA,"32-36""",OLD AGE,,,,775,450.8,M184729,2013-11-09 16:36:00,2013-11-20 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,995,590,M183557,2013-10-28 14:31:00,2014-01-15 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,1050,620,M183560,2013-10-28 14:31:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,1050,640,M183563,2013-10-28 14:32:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,375,240,M183567,2013-10-28 14:33:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CASUAL,NA,F/S,OLD AGE,,,,625,375,M183571,2013-10-28 14:33:00,2013-10-28 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,HOOD,NA,F/S,OLD AGE,,,,650,395,M183572,2013-10-28 14:34:00,2013-10-28 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Jorden -4U. (5097) : SJ00087,H WLS,HONEY BELL,CARDIGAN,NA,F/S,OLD AGE,,,,675,405,M183573,2013-10-28 14:37:00,2013-10-28 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Jayam Garments. (Green) (6015) : SJ00038,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,695,405,M185346,2013-11-15 16:20:00,2013-11-16 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Valmond Knits. (6035) : SV00052,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,425,254,M185349,2013-11-15 16:29:00,2013-11-16 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Valmond Knits. (6035) : SV00052,H WMP,MB,R NECK,NA,F FREE,OLD AGE,,,,595,350,M185351,2013-11-15 16:29:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Emmay Knitwears. (5015) : SE00018,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,445,255,M185354,2013-11-15 16:31:00,2013-11-16 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMP,MB,NA,NA,F FREE,OLD AGE,,,,945,558,M185358,2013-11-15 16:36:00,2013-11-16 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"18""",OLD AGE,,,,450,261.45,M183687,2013-10-28 17:03:00,2013-10-29 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"18""",OLD AGE,,,,250,149.4,M183690,2013-10-28 17:04:00,2014-01-15 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"18""",OLD AGE,,,,325,195.05,M183693,2013-10-28 17:05:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMP,MB,NA,NA,F FREE,OLD AGE,,,,995,589,M184567,2013-11-07 16:09:00,2013-11-07 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Midas Knits (P) Ltd. (5028) : SM00106,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,745,425,M184570,2013-11-07 16:13:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Bahu Bali Knitwears (Regd.) (5008) : SB00068,H WMP,MB,R NECK,NA,F FREE,OLD AGE,,,,545,325,M184530,2013-11-07 14:46:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Bahu Bali Knitwears (Regd.) (5008) : SB00068,H WMP,MB,R NECK,NA,F FREE,OLD AGE,,,,525,312.5,M184534,2013-11-07 14:47:00,2014-01-15 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Shashi Kamal Enterprises. (5107) : SS00317,H WGJ,MB,,NA,"F 30-34""",OLD AGE,,,,1195,665,M184539,2013-11-07 15:16:00,2014-01-15 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Shashi Kamal Enterprises. (5107) : SS00317,H WGJ,MB,S LESS,NA,"F 30-34""",OLD AGE,,,,1175,713,M184541,2013-11-07 15:18:00,2014-02-14 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Shashi Kamal Enterprises. (5107) : SS00317,H WGJ,MB,S LESS,NA,"F 36""",OLD AGE,,,,1195,722,M184546,2013-11-07 15:19:00,2013-11-07 00:00:00
Winter Garments,Winterwear Girls,Jackets [WG],Girls,Shashi Kamal Enterprises. (5107) : SS00317,H WGJ,MB,,NA,"F 36""",OLD AGE,,,,1295,750.5,M184549,2013-11-07 15:19:00,2013-11-07 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Amarson International Pvt. Ltd. (5005) : SA00128,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,795,468,M184460,2013-11-07 10:34:00,2013-11-16 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Amarson International Pvt. Ltd. (5005) : SA00128,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,795,477,M184465,2013-11-07 10:37:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Amarson International Pvt. Ltd. (5005) : SA00128,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,795,450,M184468,2013-11-07 10:39:00,2013-11-07 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,975,452.5,M184474,2013-11-07 11:04:00,2013-11-08 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1475,729.25,M184478,2013-11-07 11:08:00,2013-11-08 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1345,655,M184480,2013-11-07 11:09:00,2013-12-30 00:00:00
Winter Garments,Winterwear Girls,Sweaters [WG],Girls,Usha Knit Fab. (5043) : SU00014,H WGS,KIDS CREW,,NA,"24-28""",OLD AGE,,,,895,535,M183167,2013-10-24 11:16:00,2013-10-24 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Tudor International. (5042) : ST00042,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,625,354.2,M186803,2013-11-29 09:57:00,2013-11-29 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"30-34""",OLD AGE,,,,525,316.8,M187415,2013-12-07 11:01:00,2013-12-09 00:00:00
Winter Garments,Winterwear Girls,Girls Sets [WG],Girls,Dudheria Apparels Pvt. Ltd. (0049) : SD00056,H WGCP,AMY,HOOD,NA,NA,OLD AGE,,,,210,130,M185037,2013-11-13 14:36:00,2013-11-18 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Midas Apparels. (5027) : SM00094,H WMT,MB,PAYJAMA,NA,NA,OLD AGE,,,,360,259.93,M185044,2013-11-13 14:44:00,2013-11-14 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"30-34""",OLD AGE,,,,795,497.2,M182482,2013-10-17 12:11:00,2013-10-18 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"30-34""",OLD AGE,,,,550,330,M182487,2013-10-17 12:12:00,2014-01-15 00:00:00
Winter Garments,Winterwear Ladies,Jackets [WL],Western,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLJ,ATAM,HOOD,NA,F/S,OLD AGE,,,,1150,712.5,M183010,2013-10-23 11:06:00,2013-10-24 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Valmond Knits. (6035) : SV00052,H WMP,MB,NA,NA,F FREE,OLD AGE,,,,645,375,M183034,2013-10-23 12:41:00,2013-10-24 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Sri Vaigai Garments. (6032) : SS00267,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,895,544,M183036,2013-10-23 12:42:00,2013-10-24 00:00:00
Winter Garments,Winterwear Boys,Pullovers [WB],Boys,Sri Ram Dev Industries. (5038) : SS00130,H WBP,ACCEPT,,NA,"30-34""",OLD AGE,,,,595,352,M183708,2013-10-28 17:22:00,2013-10-29 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,595,385,M183613,2013-10-28 15:21:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,550,403,M183615,2013-10-28 15:23:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,395,271,M183616,2013-10-28 15:23:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,325,201,M183619,2013-10-28 15:26:00,2013-12-21 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,395,254,M183622,2013-10-28 15:27:00,2013-12-30 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"18""",OLD AGE,,,,310,178.45,M183749,2013-10-28 18:13:00,2014-01-15 00:00:00
Winter Garments,Winterwear Girls,Girls Sets [WG],Girls,Jain Creations(61J-0034) : SJ00052,H WGCP,TINI-MINI,,NA,"F 22-26""",OLD AGE,,,,395,233.2,M183751,2013-10-28 18:13:00,2013-10-28 00:00:00
Winter Garments,Winterwear Boys,Baba Suits [WB],Boys,H R Narrow Fabrics(61H-0009) : SS00152,H WBS,MB,,NA,"14""",OLD AGE,,,,275,157.7,M183754,2013-10-28 18:14:00,2013-10-29 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,1095,630,M183757,2013-10-28 18:23:00,2014-01-29 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H WMJ,BORGOFORTE,HOUSE COAT,NA,F/S,OLD AGE,,,,1825,1050,M183760,2013-10-28 18:25:00,2013-10-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,850,495,M183764,2013-10-29 10:59:00,2014-01-30 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,995,605,M183767,2013-10-29 11:00:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,1295,790,M183769,2013-10-29 11:00:00,2014-01-15 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Indra Hosiery Mills. (5147) : SI00013,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1175,558.25,M184574,2013-11-07 17:27:00,2013-11-08 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,135,81.84,M182758,2013-10-19 14:27:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Shawl,Saree,S. B. Jain Textile Mills. (7098)xxxx : SS00246,H WLL,SB,SHAWL,NA,NA,OLD AGE,,,,285,170.72,M182762,2013-10-19 14:28:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Jayam Garments. (Green) (6015) : SJ00038,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,695,410,M185413,2013-11-16 11:29:00,2013-11-16 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,125,80,M185416,2013-11-16 11:31:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,135,85.5,M185419,2013-11-16 11:38:00,2013-11-18 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Vipra Knit Garments. (6015) : SV00032,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,695,410,M186141,2013-11-21 11:35:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,L. B. Creations. (6015) : SL00014,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,675,395,M186143,2013-11-21 11:36:00,2013-12-04 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Vipra Knit Garments. (6015) : SV00032,H WMP,MB,HOOD,NA,F FREE,OLD AGE,,,,645,379,M186148,2013-11-21 11:40:00,2013-11-21 00:00:00
Winter Garments,Winterwear Mens,Pullovers [WM],T Shirts,Sri Ram Dev Industries. (5038) : SS00130,H WMP,MB,NA,NA,NA,OLD AGE,,,,575,330,M187422,2013-12-07 11:02:00,2013-12-09 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Vijay Vallabh Knitting Works. (5089) : SV00037,H WLP,MISS 15,HOOD,NA,F/S,OLD AGE,,,,675,382.2,M187430,2013-12-07 11:27:00,2013-12-07 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Vijay Vallabh Knitting Works. (5089) : SV00037,H WLP,MISS 15,HOOD,NA,F/S,OLD AGE,,,,750,445.9,M187432,2013-12-07 11:28:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Satish Oswal Hosiery. (5088) : SS00318,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,99,64,M182489,2013-10-17 12:12:00,2013-10-21 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,T. G. Knit Wear. (6036) : ST00057,H WGP,MB,COAT,NA,F/S,OLD AGE,,,,299,170,M185096,2013-11-13 18:04:00,2014-01-29 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,T. G. Knit Wear. (6036) : ST00057,H WGP,MB,COAT,NA,F/S,OLD AGE,,,,350,206,M185099,2013-11-13 18:04:00,2014-01-29 00:00:00
Winter Garments,Winterwear Girls,Pullovers [WG],Girls,T. G. Knit Wear. (6036) : ST00057,H WGP,MB,HOOD,NA,F/S,OLD AGE,,,,450,255,M185101,2013-11-13 18:05:00,2013-11-14 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,495,333,M183047,2013-10-23 14:36:00,2013-12-30 00:00:00
Winter Garments,Winterwear Ladies,Winter Tops [WL],Western,Baazar Retail Limited(33B-0007) : SB00009,H WLT,TT,,NA,FREE,OLD AGE,,,,425,280,M183049,2013-10-23 14:37:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WMS,MB,V NECK,NA,F/S,OLD AGE,,,,775,423,M183829,2013-10-29 13:56:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Sweaters [WM],Formal,Maheshwari Traders (Kolkata) Pvt. Ltd. (0114) : SM00072,H WMS,MB,NA,NA,F/S,OLD AGE,,,,1125,617.5,M183830,2013-10-29 13:56:00,2013-10-30 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,S. N. S. Garments. (3191) : SS00321,H WBJ,MB,,NA,NA,OLD AGE,,,,625,375,M183889,2013-10-29 15:49:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,MB,CARDIGAN,NA,FREE,OLD AGE,,,,1195,774,M182906,2013-10-22 10:48:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Atam Woollen Mills Pvt Ltd (5169) : SA00104,H WLS,MB,CASUAL,NA,FREE,OLD AGE,,,,995,598.5,M182908,2013-10-22 10:49:00,2013-12-30 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,145,91,M185409,2013-11-16 11:28:00,2014-01-20 00:00:00
Winter Garments,Winterwear Mens,Woolen Accessories,Acc 1,Kuldip Oswal Hosiery Mills Pvt. Ltd. (5024) : SK00029,H CAP,BORGOFORTE,MENS,NA,NA,OLD AGE,,,,110,67,M185411,2013-11-16 11:29:00,2014-03-05 00:00:00
Winter Garments,Winterwear Mens,Track Suits [WM],Sports,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WMT,SPEED,PAYJAMA,NA,NA,OLD AGE,,,,245,176,M184214,2013-11-01 14:09:00,2014-02-22 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Baazar Retail Limited(33B-0007) : SB00009,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1995,1216,M184222,2013-11-01 14:13:00,2013-11-01 00:00:00
Winter Garments,Winterwear Mens,Jackets [WM],Casual,Baazar Retail Limited(33B-0007) : SB00009,H WMJ,MB,CARGO,NA,F FREE,OLD AGE,,,,1995,1313,M184226,2013-11-01 14:14:00,2013-11-01 00:00:00
Winter Garments,Winterwear Boys,Jackets [WB],Boys,Shree Niwas Textiles Private Limited. (0192) : SS00011,H WBJ,SPEED,F OPEN,NA,F/S,OLD AGE,,,,225,178,M184230,2013-11-01 16:42:00,2014-02-14 00:00:00
Winter Garments,Winterwear Ladies,Pullovers [WL],Western,Balaji Textiles. (6005) : SB00072,H WLP,X PLORE,HOOD,NA,F/S,OLD AGE,,,,445,256.63,M184238,2013-11-04 10:13:00,2014-01-15 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Munshi Ram Hosiery(61M-0061) : SM00096,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,1250,750,M185066,2013-11-13 15:51:00,2014-01-29 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Munshi Ram Hosiery(61M-0061) : SM00096,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,950,575,M185069,2013-11-13 15:52:00,2014-01-20 00:00:00
Winter Garments,Winterwear Ladies,Sweaters [WL],Ethnic,Munshi Ram Hosiery(61M-0061) : SM00096,H WLS,MB,CARDIGAN,NA,F/S,OLD AGE,,,,850,525,M185071,2013-11-13 15:53:00,2014-01-20 00:00:00
